epoch,avg_train_loss,avg_disc_loss,avg_lpips_loss,avg_message_recon_loss,avg_image_recon_loss,avg_disc_part_loss
1,0.9671202618584073,0.272207958503164,0.11846418971334287,0.6942196563422252,0.021619477030392333,0.1328169377051669
2,0.8202568670685628,0.2512456092009727,0.04163061300341746,0.6474859255680935,0.0033088482401838495,0.12783148023579047
3,0.5904156901210332,0.25032156355661167,0.02803213802574993,0.43336829732504967,0.001995968361183045,0.12701928824615136
4,0.5069389301095363,0.2502447231996545,0.020194182829033555,0.3588280391921814,0.0014735923776971467,0.12644311657948173
5,0.4294134623927178,0.24862401153472402,0.015031728890726714,0.28545882313443033,0.0013011549473840663,0.12762175624569258
6,0.40504811657704326,0.2435105256468272,0.01651098662697011,0.254529762664716,0.0015534755127695422,0.13245389279987602
7,0.3941196537346577,0.2167049781363502,0.015686743908362995,0.22397566946754924,0.0017453861915996652,0.15271185401925366
8,0.40105671072892435,0.2132735297316127,0.020978769969766876,0.2179301819927115,0.002535680887385381,0.15961207737096494
9,0.36741456535937406,0.24579535455976745,0.016257971062881054,0.21212829804892164,0.0017708952246095352,0.1372574012932017
10,0.34324983426992844,0.2521322696543426,0.007823154185083416,0.20721646325050783,0.0008159649898398587,0.12739425231155446
11,0.3410613189498298,0.24908787532032822,0.007188187305741816,0.20482508123492738,0.0007681372766416493,0.1282799130202912
12,0.3517537407166095,0.2399959315677627,0.011525266540261338,0.20348929853247796,0.0012251293808456323,0.1355140464965531
13,0.3505618703915633,0.2447871822211668,0.01403208491135594,0.20125352016848913,0.0013692928627479545,0.13390697344101304
14,0.34693400824455906,0.24561847717784863,0.012404620315214034,0.20045715289936364,0.0011207633837443337,0.13295147149003952
15,0.32265338605399324,0.2484609886146278,0.009756285689963246,0.18208930340352103,0.0009125940426941224,0.12989520173457314
16,0.30282648756421154,0.2510015629142594,0.007885804491137698,0.1662762350619411,0.000904117817462844,0.1277603304250349
17,0.28455250844252195,0.2496673646304819,0.009149150584536277,0.14659140493979844,0.000820521352056367,0.12799143143516364
18,0.267966035565884,0.24850112178342806,0.008411965790211404,0.1300889623107956,0.000845755312725236,0.1286193537983677
19,0.25634663891520715,0.2491357560387904,0.00790567382331491,0.1191368648733238,0.000762646042579077,0.12854145374372422
20,0.2548620206632202,0.24851886602900297,0.008870954252891153,0.1155312110935684,0.001110790529800914,0.1293490647876577
21,0.2464516623128804,0.24994370609307462,0.008408369290434736,0.10888289444470148,0.0010018052314606336,0.12815859327785117
22,0.2378348701541944,0.25073408885753984,0.008174375010870968,0.10084432793213881,0.0010437639890103522,0.12777240312606883
23,0.231596332963565,0.2500856320241944,0.006363479941759518,0.0965242887371414,0.0008746419144946215,0.1278339231060706
24,0.2290527988537896,0.25030356127438214,0.006713587732380367,0.09341765186197752,0.000917425682479002,0.12800413346011863
25,0.2275336139457975,0.24903631617697022,0.007185660404816484,0.09053619419686872,0.0009569566370528504,0.12885480270468647
26,0.22115832872742372,0.24963128241560728,0.0060026236590359815,0.08599522276345989,0.0009058776249948831,0.12825460463976687
27,0.2193420340331624,0.24916016317600254,0.007216780327821075,0.08170117036946457,0.0011654069891609297,0.1292586764164394
28,0.20753379210794,0.2501887566358637,0.006074901136158735,0.0715682584126826,0.0011585610507268847,0.1287320718276415
29,0.19968018955964265,0.24933055430936585,0.0065715587603004215,0.06320491311088991,0.0010706106144211833,0.1288331069891973
30,0.19841461580434291,0.24831545142104014,0.006210571292584552,0.061281521711945175,0.0011400195725437487,0.1297825035020459
31,0.1983502414836872,0.24967888194165355,0.006867321597287159,0.060693077481747106,0.001240261815453721,0.1295495804854863
32,0.19201282969267247,0.24984465394731906,0.005414207980463313,0.05660879980924604,0.0010191187863735085,0.12897070360591087
33,0.19242508648682555,0.2486761065481378,0.007470233263715887,0.05342048562379728,0.0012639023073110283,0.13027046508283066
34,0.18003457421950586,0.24989721738248707,0.005583425153803965,0.043125912875977813,0.0011051261822114602,0.1302201101641289
35,0.17459007715292685,0.25030429636260015,0.006617058552042258,0.036388370252551615,0.001429960750153945,0.13015468767899976
36,0.1673751053996652,0.2488895633595167,0.006433183005709442,0.029962761286306653,0.0011914224539463557,0.12978773893748255
37,0.16387166543830212,0.24962442393282908,0.00649196367567892,0.025338558675564952,0.0012656166969197723,0.1307755263982345
38,0.1578301341234923,0.24982998259276223,0.0053713381211150536,0.02252539625317104,0.0009526428808424649,0.12898075699413136
39,0.1577818636521161,0.2497743213777062,0.005233384525611086,0.022161696955301447,0.001050299371182874,0.12933648255267302
40,0.15253005487670143,0.25095042761424174,0.004043565061093002,0.020789166789879347,0.000674628364629943,0.12702269512686512
41,0.15714461165223476,0.24844575946708378,0.005508617089270688,0.019853453726281035,0.0012053165224180345,0.13057722447873304
42,0.15366200332661611,0.24973090839900558,0.004134748857446033,0.01958583100635795,0.0008555992535548285,0.12908582401861676
43,0.15419742796453925,0.25003445191349055,0.006060129864871663,0.018387878004825012,0.00108969270553757,0.12865972726179256
44,0.14813133606986462,0.25045654786933813,0.004386149574075636,0.014880730268155723,0.0007685453764847491,0.1280959109447414
45,0.14979266500372967,0.24805588250180227,0.005918898384368195,0.011779458203260302,0.0012172329979984991,0.13087707563198442
46,0.1423941694950457,0.2516310571623649,0.004259011827407034,0.009338215257644729,0.0008110080633691581,0.1279859345147221
47,0.14168478464551396,0.24918741630993302,0.0034205282393985873,0.009543278035626811,0.0006441178866181907,0.12807686032830096
48,0.14570057935280195,0.2500448136521186,0.004891439325235364,0.01133043100596495,0.0007266540808463023,0.12875205480294832
49,0.1448328371831982,0.24919944001044586,0.005078706344560557,0.008916199444847603,0.0009993548645013698,0.12983857666095383
50,0.13774398799172693,0.25139476317796206,0.0028939077558612332,0.0079572438588338,0.0004908946634048867,0.12640194185703493
