epoch,avg_train_loss,avg_disc_loss,avg_lpips_loss,avg_message_recon_loss,avg_image_recon_loss,avg_disc_part_loss
1,0.9723284156631222,0.2769910854865893,0.12275106124847913,0.6941903039134092,0.021831133759667654,0.13355591843168227
2,0.7527970530146317,0.2499734517410219,0.04291005459853071,0.5761632917882156,0.004369684583529812,0.12935402492682138
3,0.5278144120741234,0.250548608368821,0.02583001701862549,0.3726709859369756,0.002125967825105195,0.12718744085525438
4,0.43587066193850493,0.25003673066552595,0.01866351248030897,0.28897637945356414,0.0014707702551231378,0.1267600015913554
5,0.4190264349575523,0.2483104509915665,0.015499618883765073,0.27429338439191275,0.0012006363649997745,0.12803279615634922
6,0.4078579294524319,0.2500353123930147,0.011663364158268812,0.26697448691089665,0.0015494260588427447,0.12767065268197506
7,0.3958605597916839,0.2503904436203501,0.010283147540430335,0.2576790080367804,0.0011878400224169417,0.12671056503264738
8,0.37010921820176307,0.24928995161105116,0.009805725746156036,0.23170102326918562,0.0012046712972318678,0.12739779877898505
9,0.3551366214843677,0.24880407704152077,0.009164262226027854,0.21713535001666712,0.0010484509176755552,0.127788558504064
10,0.308538036487943,0.24799686598834947,0.00801501885124614,0.1714941444549915,0.00083731190844889,0.12819156123937178
11,0.288211850168036,0.23965865727380026,0.009356105609962213,0.14375743666569962,0.0010049936243101767,0.1340933142127179
12,0.29359150906618264,0.2318312934905791,0.010231488149800747,0.1419543215482355,0.0010978183339180189,0.14030788163487
13,0.2970996967358269,0.22823062573048136,0.012717656865470307,0.13774911645683738,0.0013280014086409183,0.14530492274702597
14,0.28624377606941354,0.24206371814441338,0.011283705262824607,0.13844724516752813,0.0010498798142016443,0.13546294571577217
15,0.2843947643570477,0.23941197546480372,0.01212679181020144,0.1337673073183361,0.001129292735365963,0.13737137329807098
16,0.26863906534312726,0.2520263477338018,0.008103112193780373,0.1319171451702178,0.0007830196115656196,0.12783578824368028
17,0.26734020468070924,0.24749519397243322,0.008641128960105745,0.12729158746056277,0.0008516908462125277,0.13055579763629455
18,0.2696494515315234,0.24344311440162522,0.009930370563118579,0.1250507669652895,0.0009815615410394454,0.13368675180619283
19,0.26635644944022885,0.2443674968408166,0.011138474487764337,0.12043104045164528,0.0009977174387857813,0.1337892173809542
20,0.25697275018877835,0.24709489350195982,0.009253577907107395,0.11591959513312906,0.0008246207337787965,0.1309749571521648
21,0.25309724877063605,0.24484557846038463,0.009360748374157941,0.10937011920862633,0.0009274337978766141,0.13343894727331557
22,0.2386167906314063,0.24656074084966875,0.00835026090443179,0.0980496813054029,0.0007972624213967977,0.13141958595072623
23,0.22979126595478835,0.24565824403536976,0.008847477141493034,0.08752877367057389,0.0008941729690117998,0.13252084234135328
24,0.22075500676957824,0.24443152091271586,0.009597151994155787,0.07628648547897879,0.000947140416435281,0.13392422852113092
