epoch,avg_train_loss,avg_disc_loss,avg_lpips_loss,avg_message_recon_loss,avg_image_recon_loss,avg_disc_part_loss
1,1.3517247512043238,0.15344888414982125,0.23539479955030287,0.6931106332394716,0.14900900851220464,0.2742103086404806
2,0.8383753608456619,0.25718487141658364,0.07912497624433298,0.5998836398053227,0.017995242440371775,0.1413715019044902
3,0.6732397536150843,0.24166558913404135,0.05414440475261326,0.46215342989356684,0.017739115578817022,0.1392028064375444
4,0.5975215107702808,0.23835354459157093,0.04576525037183607,0.3965551030578659,0.015587242867359869,0.13961391689644442
5,0.5406395373084276,0.2384393249305604,0.04211651548135767,0.3442581389590705,0.014620576112484225,0.13964430703748043
6,0.500868903861629,0.23943516215403304,0.038830575921820654,0.3100991177080061,0.012970764167066351,0.13896844656668977
7,0.48895794574877055,0.2410412396815755,0.03593105269368175,0.3047489124915297,0.010309921946640101,0.13796805974533805
8,0.4768401085973072,0.24306077642335022,0.03271514774753536,0.2992522792993404,0.007650231247113424,0.13722245038734923
9,0.4587037624429456,0.246672724416073,0.028103530563289028,0.29046096515169534,0.005280310702365008,0.13485895622548438
10,0.42653647143777895,0.24688192053164223,0.02393467349449186,0.26440484914705337,0.0038748289860742573,0.13432212064949442
11,0.41159467692140767,0.24738216389426224,0.021111791849591964,0.25304034052135277,0.0034971446513837063,0.1339454008377999
12,0.3881111300463299,0.24658614005759466,0.018698091857689177,0.2330640737387202,0.0029191578250117064,0.13342980776044677
13,0.3854347282319332,0.24733795454319146,0.01825564731207254,0.230085327131428,0.003025712460453669,0.13406804218280802
14,0.3753126934349394,0.24808281224122722,0.0162171410816572,0.2242077448778301,0.002528408962989793,0.13235939972156244
15,0.37787974649053113,0.24712934257458155,0.015615466600216978,0.22612821335772532,0.002496797938460408,0.13363926904164344
16,0.36482857144493563,0.24750159616521794,0.0141608433818056,0.21587395539386667,0.0021811093253137127,0.13261266411851635
17,0.34057927706973445,0.2472125633621959,0.013363797212582377,0.19296495515486892,0.0019420471194683746,0.13230847788871908
18,0.3378464223848258,0.24707473289194726,0.013293134635962028,0.18955754543201242,0.0020814262083044825,0.1329143159716821
19,0.3344903631354693,0.24652251038405534,0.013265112355212978,0.18564925323144424,0.0020182880097542326,0.1335577099121732
20,0.3246857563225771,0.24611548005605488,0.01287841751425565,0.1764463578536213,0.0018729653569023244,0.13348801545709443
21,0.30560562589900386,0.24405881987630035,0.012483658572788433,0.15622479635641442,0.0018674131811985063,0.135029758123471
22,0.29500446640115846,0.24521612413495564,0.012023490896600363,0.14703629881911856,0.001737895439132128,0.1342067812844146
23,0.2899371803128462,0.2438357244971559,0.011899110753361662,0.14127035634659177,0.0016330816764585513,0.13513463177233578
24,0.2820659656461766,0.24419336605200664,0.011596714585295898,0.13384685843146676,0.0016998411841607905,0.1349225507187043
25,0.2766040613253911,0.24554307701633415,0.011121524781506839,0.13048487505484685,0.0015264103759043321,0.1334712510700706
26,0.2749347718571016,0.24371394054066364,0.011490270468055737,0.12567649004708448,0.0016550863901771855,0.13611292529056113
27,0.265001906283039,0.24445227328107225,0.010164756206706238,0.1189487044670456,0.0013832879213368345,0.13450515774978722
28,0.26108735378125875,0.24506055140238014,0.010201034046222659,0.11489389359289937,0.0013663138904188908,0.13462611210110376
29,0.2550518069264414,0.24407732490298273,0.010124138177861628,0.1085068277514381,0.0014275343564804643,0.1349933066313787
30,0.2518133533944329,0.2444226412142781,0.009865494728606525,0.10587891530049004,0.0013821845154202046,0.13468675911247874
31,0.2522967328949512,0.24301590020064828,0.010830410960525703,0.1027382603942526,0.0015811623440948215,0.1371468994900477
32,0.2453175413129713,0.24284869223404273,0.009949003981104751,0.09815010348696718,0.0013471807307693258,0.13587125296072422
33,0.24099170325471342,0.2437972991193513,0.009544241544176385,0.09456923273246852,0.001365335345727769,0.13551289344327055
34,0.23564962764009298,0.24559998054870313,0.009286981469636663,0.0913905282449022,0.0012479646788710144,0.13372415308650734
35,0.23328912445752742,0.24416667683947857,0.009406735182000543,0.08769041184577153,0.0012792493778529936,0.13491272849502037
36,0.23195200289289156,0.24416651857270896,0.009205986106348374,0.08650608805211471,0.0012774589671546758,0.13496246962524433
37,0.23002950988298984,0.24428162196700234,0.009264358087628186,0.08481661906148746,0.0012318577184129676,0.13471667489094985
38,0.2290296742527319,0.2446325574633029,0.00923506402504369,0.0842776610839853,0.0013091352597806977,0.13420781368117252
39,0.23160550711180666,0.24355567561136446,0.009652994469822132,0.08485826613533376,0.0013917069498290994,0.13570253896734696
40,0.22516022113372955,0.24308743871015898,0.009297442941298837,0.07850029646046013,0.0012657539885517933,0.13609672783554602
